Rank,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot CasesPer1MPop,DeathsPer1MPop,TotalTests,TestsPer1MPop ,Population
194,Gambia,12626,,372,,12189,,65,,4935,145,155686,60851,"2,558,482"
195,Saint Martin,12324,,63,,1399,,10862,7,310194,1586,112382,2828643,"39,730"
196,Vanuatu,12019,,14,,11976,,29,,37346,44,24976,77606,"321,832"
197,Greenland,11971,,21,,2761,,9189,4,210117,369,164926,2894810,"56,973"
198,Yemen,11945,,2159,,9124,,662,23,383,69,329592,10579,"31,154,867"
199,Caribbean Netherlands,11682,,38,,10476,,1168,,438398,1426,30126,1130559,"26,647"
200,Sint Maarten,11051,,92,,10905,,54,N/A,251353,2093,62056,1411454,"43,966"
201,Eritrea,10189,,103,,10086,,0,,2782,28,23693,6470,"3,662,244"
202,Niger,9931,,312,,8890,,729,1,381,12,254538,9759,"26,083,660"
203,St. Vincent Grenadines,9631,,124,,9493,,14,,86337,1112,114197,1023720,"111,551"
204,Guinea-Bissau,9614,,177,,8929,,508,6,4659,86,145231,70385,"2,063,367"
205,Comoros,9109,,161,,8939,,9,,10038,177,,,"907,419"
206,Antigua and Barbuda,9106,,146,,8954,,6,1,91509,1467,18901,189943,"99,509"
207,Liberia,8090,,295,,7783,,12,2,1525,56,139824,26356,"5,305,117"
208,Sierra Leone,7762,,126,,N/A,N/A,N/A,,934,15,259958,31296,"8,306,436"
209,Chad,7701,,194,,4874,,2633,,442,11,191341,10988,"17,413,580"
210,British Virgin Islands,7305,,64,,N/A,N/A,N/A,,238757,2092,107339,3508269,"30,596"
211,Cook Islands,7151,,2,,7149,,0,,406977,114,19690,1120596,"17,571"
212,Turks and Caicos,6630,,39,,6576,,15,4,166830,981,614852,15471478,"39,741"
213,Saint Kitts and Nevis,6607,,48,,6559,,0,,122645,891,126958,2356704,"53,871"
214,Sao Tome and Principe,6589,,80,,6509,,0,,28940,351,29036,127530,"227,679"
215,Palau,6160,,9,,6089,,62,,337849,494,70271,3854056,"18,233"
216,St. Barth,5507,,6,,N/A,N/A,N/A,,553746,603,78646,7908095,"9,945"
217,Nauru,5393,,1,,5347,,45,,494635,92,20509,1881042,"10,903"
218,Kiribati,5082,,24,,2703,,2355,3,41177,194,,,"123,419"
219,Anguilla,3904,,12,,3879,,13,4,256336,788,51382,3373736,"15,230"
220,Wallis and Futuna,3550,,8,,438,,3104,,323256,728,20508,1867419,"10,982"
221,Saint Pierre Miquelon,3452,,2,,2449,,1001,1,599410,347,25400,4410488,"5,759"
222,Tuvalu,2943,,1,,,,2942,,243909,83,,,"12,066"
223,Saint Helena,2166,,,,2,,2164,,354211,,,,"6,115"
224,Falkland Islands,1930,,,,1930,,0,,545352,,8632,2439107,"3,539"
225,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,"4,965"
226,Niue,827,,,,825,,2,,509864,,,,"1,622"
227,Diamond Princess,712,,13,,699,,0,,,,,,
228,Tokelau,80,,,,,,80,,58055,,,,"1,378"
229,Vatican City,29,,,,29,,0,,36295,,,,799
230,Western Sahara,10,,1,,9,,0,,16,2,,,"626,161"
231,MS Zaandam,9,,2,,7,,0,,,,,,
